ID,m00,m10,m01,cx,cy,mu20,mu02,mu11,Circularity,IsCircleLike
193,1.0000,1092.0000,21.0000,1092.0000,21.0000,0.0000,0.0000,0.0000,0.0000,NO
194,7.0000,2338.0000,154.0000,334.0000,22.0000,28.0000,0.0000,0.0000,0.2785,NO
195,9.0000,4091.0000,215.0000,454.5556,23.8889,6.2222,8.8889,0.5556,0.8531,NO
196,665.0000,492987.0000,21647.0000,741.3338,32.5519,215581.8887,18942.4602,19544.4827,0.3001,NO
197,1.0000,776.0000,22.0000,776.0000,22.0000,0.0000,0.0000,0.0000,0.0000,NO
198,1.0000,972.0000,22.0000,972.0000,22.0000,0.0000,0.0000,0.0000,0.0000,NO
199,300.0000,320534.0000,8935.0000,1068.4467,29.7833,40034.1467,6748.9167,-13748.9667,0.3062,NO
200,1.0000,1104.0000,22.0000,1104.0000,22.0000,0.0000,0.0000,0.0000,0.0000,NO
201,1.0000,71.0000,23.0000,71.0000,23.0000,0.0000,0.0000,0.0000,0.0000,NO
202,2.0000,279.0000,46.0000,139.5000,23.0000,0.5000,0.0000,0.0000,1.2732,NO
203,1.0000,912.0000,23.0000,912.0000,23.0000,0.0000,0.0000,0.0000,0.0000,NO
204,11.0000,10435.0000,271.0000,948.6364,24.6364,50.5455,12.5455,-23.4545,0.3052,NO
205,1.0000,971.0000,23.0000,971.0000,23.0000,0.0000,0.0000,0.0000,0.0000,NO
206,10.0000,12696.0000,243.0000,1269.6000,24.3000,44.4000,4.1000,-9.8000,0.3282,NO
207,3.0000,3825.0000,69.0000,1275.0000,23.0000,2.0000,0.0000,0.0000,0.7162,NO
208,1.0000,141.0000,24.0000,141.0000,24.0000,0.0000,0.0000,0.0000,0.0000,NO
209,1.0000,240.0000,24.0000,240.0000,24.0000,0.0000,0.0000,0.0000,0.0000,NO
210,2.0000,671.0000,48.0000,335.5000,24.0000,0.5000,0.0000,0.0000,1.2732,NO
211,4.0000,1760.0000,98.0000,440.0000,24.5000,2.0000,1.0000,1.0000,0.8488,NO
212,1.0000,681.0000,24.0000,681.0000,24.0000,0.0000,0.0000,0.0000,0.0000,NO
213,3.0000,2730.0000,72.0000,910.0000,24.0000,2.0000,0.0000,0.0000,0.7162,NO
214,1.0000,1015.0000,24.0000,1015.0000,24.0000,0.0000,0.0000,0.0000,0.0000,NO
215,1.0000,127.0000,25.0000,127.0000,25.0000,0.0000,0.0000,0.0000,0.0000,NO
216,44.0000,8347.0000,1242.0000,189.7045,28.2273,579.1591,111.7273,198.9545,0.4460,NO
217,2.0000,800.0000,51.0000,400.0000,25.5000,0.0000,0.5000,0.0000,1.2732,NO
218,21.0000,26813.0000,573.0000,1276.8095,27.2857,53.2381,32.2857,-21.8571,0.8207,NO
219,1.0000,271.0000,26.0000,271.0000,26.0000,0.0000,0.0000,0.0000,0.0000,NO
220,88.0000,47917.0000,2635.0000,544.5114,29.9432,7405.9886,250.7159,-581.4432,0.1610,NO
221,1.0000,1060.0000,26.0000,1060.0000,26.0000,0.0000,0.0000,0.0000,0.0000,NO
222,2.0000,2529.0000,52.0000,1264.5000,26.0000,0.5000,0.0000,0.0000,1.2732,NO
223,2.0000,814.0000,55.0000,407.0000,27.5000,0.0000,0.5000,0.0000,1.2732,NO
224,4.0000,2764.0000,110.0000,691.0000,27.5000,2.0000,1.0000,1.0000,0.8488,NO
225,6.0000,4239.0000,171.0000,706.5000,28.5000,1.5000,5.5000,1.5000,0.8185,NO
226,1.0000,944.0000,27.0000,944.0000,27.0000,0.0000,0.0000,0.0000,0.0000,NO
227,1.0000,403.0000,28.0000,403.0000,28.0000,0.0000,0.0000,0.0000,0.0000,NO
228,2.0000,821.0000,56.0000,410.5000,28.0000,0.5000,0.0000,0.0000,1.2732,NO
229,9.0000,7797.0000,258.0000,866.3333,28.6667,20.0000,2.0000,1.0000,0.5860,NO
230,1.0000,943.0000,28.0000,943.0000,28.0000,0.0000,0.0000,0.0000,0.0000,NO
231,28.0000,26546.0000,852.0000,948.0714,30.4286,555.8571,54.8571,-151.8571,0.2043,NO
232,3.0000,2874.0000,84.0000,958.0000,28.0000,2.0000,0.0000,0.0000,0.7162,NO
233,1.0000,979.0000,28.0000,979.0000,28.0000,0.0000,0.0000,0.0000,0.0000,NO
234,2.0000,183.0000,58.0000,91.5000,29.0000,0.5000,0.0000,0.0000,1.2732,NO
235,55.0000,8068.0000,1782.0000,146.6909,32.4000,677.7455,123.2000,124.8000,0.6011,NO
236,1.0000,259.0000,29.0000,259.0000,29.0000,0.0000,0.0000,0.0000,0.0000,NO
237,3.0000,1554.0000,90.0000,518.0000,30.0000,0.0000,2.0000,0.0000,0.7162,NO
238,13.0000,6800.0000,401.0000,523.0769,30.8462,14.9231,17.6923,1.1538,0.8247,NO
239,1.0000,528.0000,29.0000,528.0000,29.0000,0.0000,0.0000,0.0000,0.0000,NO
240,1.0000,693.0000,29.0000,693.0000,29.0000,0.0000,0.0000,0.0000,0.0000,NO
241,2.0000,1881.0000,58.0000,940.5000,29.0000,0.5000,0.0000,0.0000,1.2732,NO
242,1.0000,1008.0000,29.0000,1008.0000,29.0000,0.0000,0.0000,0.0000,0.0000,NO
243,703.0000,141679.0000,32369.0000,201.5349,46.0441,304802.8962,51153.6330,94110.4196,0.2210,NO
244,1.0000,256.0000,30.0000,256.0000,30.0000,0.0000,0.0000,0.0000,0.0000,NO
245,1.0000,863.0000,30.0000,863.0000,30.0000,0.0000,0.0000,0.0000,0.0000,NO
246,35.0000,32576.0000,1163.0000,930.7429,33.2286,718.6857,146.1714,-301.9429,0.2254,NO
247,2297.0000,2871890.0000,118698.0000,1250.2786,51.6752,652259.6805,362887.7205,67316.8537,0.8272,YES
248,1.0000,131.0000,31.0000,131.0000,31.0000,0.0000,0.0000,0.0000,0.0000,NO
249,33.0000,6687.0000,1127.0000,202.6364,34.1515,163.6364,82.2424,75.8182,0.7049,NO
250,3.0000,1559.0000,95.0000,519.6667,31.6667,0.6667,0.6667,-0.3333,1.0743,NO
251,7.0000,3694.0000,223.0000,527.7143,31.8571,3.4286,4.8571,-1.2857,0.9412,NO
252,1.0000,705.0000,31.0000,705.0000,31.0000,0.0000,0.0000,0.0000,0.0000,NO
253,1.0000,708.0000,31.0000,708.0000,31.0000,0.0000,0.0000,0.0000,0.0000,NO
254,1.0000,1133.0000,31.0000,1133.0000,31.0000,0.0000,0.0000,0.0000,0.0000,NO
255,40.0000,4730.0000,1387.0000,118.2500,34.6750,891.5000,130.7750,312.2500,0.2491,NO
256,13.0000,1774.0000,436.0000,136.4615,33.5385,59.2308,15.2308,26.7692,0.3612,NO
257,105.0000,23171.0000,4048.0000,220.6762,38.5524,3652.9905,1183.9619,1687.7810,0.3628,NO
258,4.0000,1029.0000,129.0000,257.2500,32.2500,2.7500,0.7500,0.7500,0.7276,NO
259,1.0000,275.0000,32.0000,275.0000,32.0000,0.0000,0.0000,0.0000,0.0000,NO
260,10.0000,6249.0000,338.0000,624.9000,33.8000,6.9000,9.6000,1.8000,0.9646,NO
261,58.0000,36621.0000,2196.0000,631.3966,37.8621,653.8793,316.8966,-100.8276,0.5515,NO
262,2.0000,1426.0000,65.0000,713.0000,32.5000,0.0000,0.5000,0.0000,1.2732,NO
263,1.0000,938.0000,32.0000,938.0000,32.0000,0.0000,0.0000,0.0000,0.0000,NO
264,1.0000,964.0000,32.0000,964.0000,32.0000,0.0000,0.0000,0.0000,0.0000,NO
265,1.0000,1167.0000,32.0000,1167.0000,32.0000,0.0000,0.0000,0.0000,0.0000,NO
266,5.0000,2229.0000,166.0000,445.8000,33.2000,6.8000,0.8000,1.2000,0.5235,NO
